date,Real Middle Band,Real Lower Band,Real Upper Band
2020-01-16 10:15:00,313.7586,310.2293,317.288
2020-01-16 10:16:00,313.8442,310.4146,317.2738
2020-01-16 10:17:00,313.9333,310.6417,317.2249
2020-01-16 10:18:00,314.0116,310.8336,317.1897
2020-01-16 10:19:00,314.0879,311.0185,317.1573
2020-01-16 10:20:00,314.1614,311.2171,317.1057
2020-01-16 10:21:00,314.2252,311.4062,317.0441
2020-01-16 10:22:00,314.2915,311.6015,316.9815
2020-01-16 10:23:00,314.3635,311.8284,316.8985
2020-01-16 10:24:00,314.4291,312.0642,316.7941
2020-01-16 10:25:00,314.4941,312.3215,316.6667
2020-01-16 10:26:00,314.5571,312.5964,316.5178
2020-01-16 10:27:00,314.6167,312.8989,316.3345
2020-01-16 10:28:00,314.6717,313.2257,316.1178
2020-01-16 10:29:00,314.7305,313.6186,315.8424
2020-01-16 10:30:00,314.7833,314.0555,315.5111
2020-01-16 10:31:00,314.7975,314.1169,315.4781
2020-01-16 10:32:00,314.8089,314.1692,315.4487
2020-01-16 10:33:00,314.8112,314.1757,315.4467
2020-01-16 10:34:00,314.8097,314.1727,315.4466
2020-01-16 10:35:00,314.8068,314.1674,315.4463
2020-01-16 10:36:00,314.8022,314.1533,315.4511
2020-01-16 10:37:00,314.7985,314.1414,315.4557
2020-01-16 10:38:00,314.7925,314.115,315.47
2020-01-16 10:39:00,314.7782,314.0632,315.4932
2020-01-16 10:40:00,314.766,314.0278,315.5043
2020-01-16 10:41:00,314.7526,314.0038,315.5014
2020-01-16 10:42:00,314.7418,313.9876,315.4959
2020-01-16 10:43:00,314.7257,313.9638,315.4876
2020-01-16 10:44:00,314.7112,313.9185,315.5039
2020-01-16 10:45:00,314.7002,313.8899,315.5106
2020-01-16 10:46:00,314.6864,313.8552,315.5175
2020-01-16 10:47:00,314.6775,313.8274,315.5276
2020-01-16 10:48:00,314.6707,313.8061,315.5354
2020-01-16 10:49:00,314.6664,313.7952,315.5376
2020-01-16 10:50:00,314.6614,313.7817,315.5412
2020-01-16 10:51:00,314.6486,313.7475,315.5497
2020-01-16 10:52:00,314.6402,313.7207,315.5598
2020-01-16 10:53:00,314.6328,313.6968,315.5687
2020-01-16 10:54:00,314.6185,313.6524,315.5846
2020-01-16 10:55:00,314.5978,313.5864,315.6091
2020-01-16 10:56:00,314.58,313.5236,315.6364
2020-01-16 10:57:00,314.5548,313.4362,315.6735
2020-01-16 10:58:00,314.528,313.3462,315.7098
2020-01-16 10:59:00,314.4985,313.2367,315.7603
2020-01-16 11:00:00,314.469,313.1346,315.8034
2020-01-16 11:01:00,314.4415,313.0593,315.8237
2020-01-16 11:02:00,314.4101,312.9704,315.8498
2020-01-16 11:03:00,314.3813,312.9044,315.8582
2020-01-16 11:04:00,314.3568,312.8454,315.8682
2020-01-16 11:05:00,314.3351,312.8051,315.8651
2020-01-16 11:06:00,314.3101,312.7734,315.8468
2020-01-16 11:07:00,314.2869,312.7549,315.819
2020-01-16 11:08:00,314.2574,312.7403,315.7746
2020-01-16 11:09:00,314.2256,312.7222,315.7291
2020-01-16 11:10:00,314.189,312.7085,315.6695
2020-01-16 11:11:00,314.1501,312.6889,315.6113
2020-01-16 11:12:00,314.1124,312.643,315.5817
2020-01-16 11:13:00,314.0691,312.5948,315.5434
2020-01-16 11:14:00,314.0232,312.5514,315.4951
2020-01-16 11:15:00,313.9764,312.485,315.4678
2020-01-16 11:16:00,313.9256,312.4182,315.4331
2020-01-16 11:17:00,313.8767,312.3552,315.3982
2020-01-16 11:18:00,313.8327,312.3084,315.3571
2020-01-16 11:19:00,313.7898,312.2797,315.2999
2020-01-16 11:20:00,313.7485,312.2429,315.2541
2020-01-16 11:21:00,313.7145,312.2035,315.2255
2020-01-16 11:22:00,313.6774,312.1762,315.1786
2020-01-16 11:23:00,313.6327,312.1416,315.1238
2020-01-16 11:24:00,313.5907,312.0895,315.0919
2020-01-16 11:25:00,313.5497,312.0409,315.0586
2020-01-16 11:26:00,313.5137,312.0112,315.0162
2020-01-16 11:27:00,313.4845,311.9918,314.9772
2020-01-16 11:28:00,313.462,311.981,314.9431
2020-01-16 11:29:00,313.4372,311.987,314.8875
2020-01-16 11:30:00,313.4114,311.995,314.8279
2020-01-16 11:31:00,313.3869,312.0053,314.7685
2020-01-16 11:32:00,313.3627,312.0135,314.712
2020-01-16 11:33:00,313.3365,312.0221,314.6509
2020-01-16 11:34:00,313.3104,312.0374,314.5834
2020-01-16 11:35:00,313.2839,312.0522,314.5156
2020-01-16 11:36:00,313.264,312.0629,314.465
2020-01-16 11:37:00,313.2471,312.0779,314.4164
2020-01-16 11:38:00,313.2327,312.0822,314.3832
2020-01-16 11:39:00,313.2194,312.0817,314.3571
