date,VWAP
2020-01-15 12:05:00,163.3411
2020-01-15 12:06:00,163.3418
2020-01-15 12:07:00,163.3445
2020-01-15 12:08:00,163.3455
2020-01-15 12:09:00,163.3464
2020-01-15 12:10:00,163.3481
2020-01-15 12:11:00,163.35
2020-01-15 12:12:00,163.3513
2020-01-15 12:13:00,163.3536
2020-01-15 12:14:00,163.3549
2020-01-15 12:15:00,163.3575
2020-01-15 12:16:00,163.3587
2020-01-15 12:17:00,163.3607
2020-01-15 12:18:00,163.3619
2020-01-15 12:19:00,163.3633
2020-01-15 12:20:00,163.3651
2020-01-15 12:21:00,163.3657
2020-01-15 12:22:00,163.3667
2020-01-15 12:23:00,163.3677
2020-01-15 12:24:00,163.3683
2020-01-15 12:25:00,163.369
2020-01-15 12:26:00,163.3696
2020-01-15 12:27:00,163.3709
2020-01-15 12:28:00,163.3715
2020-01-15 12:29:00,163.3737
2020-01-15 12:30:00,163.3775
2020-01-15 12:31:00,163.3783
2020-01-15 12:32:00,163.3792
2020-01-15 12:33:00,163.38
2020-01-15 12:34:00,163.3813
2020-01-15 12:35:00,163.3822
2020-01-15 12:36:00,163.3834
2020-01-15 12:37:00,163.3848
2020-01-15 12:38:00,163.3868
2020-01-15 12:39:00,163.3889
2020-01-15 12:40:00,163.391
2020-01-15 12:41:00,163.3925
2020-01-15 12:42:00,163.3941
2020-01-15 12:43:00,163.396
2020-01-15 12:44:00,163.3973
2020-01-15 12:45:00,163.3982
2020-01-15 12:46:00,163.3998
2020-01-15 12:47:00,163.4004
2020-01-15 12:48:00,163.4012
2020-01-15 12:49:00,163.4022
2020-01-15 12:50:00,163.4033
2020-01-15 12:51:00,163.4041
2020-01-15 12:52:00,163.4051
2020-01-15 12:53:00,163.4056
2020-01-15 12:54:00,163.4059
2020-01-15 12:55:00,163.4063
2020-01-15 12:56:00,163.4064
2020-01-15 12:57:00,163.4065
2020-01-15 12:58:00,163.4067
2020-01-15 12:59:00,163.4068
2020-01-15 13:00:00,163.4068
2020-01-15 13:01:00,163.4066
2020-01-15 13:02:00,163.4066
2020-01-15 13:03:00,163.4067
2020-01-15 13:04:00,163.4067
2020-01-15 13:05:00,163.4066
2020-01-15 13:06:00,163.4068
2020-01-15 13:07:00,163.4068
2020-01-15 13:08:00,163.4068
2020-01-15 13:09:00,163.4069
2020-01-15 13:10:00,163.4071
2020-01-15 13:11:00,163.4073
2020-01-15 13:12:00,163.4073
2020-01-15 13:13:00,163.4074
2020-01-15 13:14:00,163.4076
2020-01-15 13:15:00,163.4078
2020-01-15 13:16:00,163.408
2020-01-15 13:17:00,163.4082
2020-01-15 13:18:00,163.4089
2020-01-15 13:19:00,163.4092
2020-01-15 13:20:00,163.4095
2020-01-15 13:21:00,163.4098
2020-01-15 13:22:00,163.4101
2020-01-15 13:23:00,163.4105
2020-01-15 13:24:00,163.4108
2020-01-15 13:25:00,163.411
2020-01-15 13:26:00,163.4112
2020-01-15 13:27:00,163.4114
2020-01-15 13:28:00,163.4116
2020-01-15 13:29:00,163.4162
2020-01-15 13:30:00,163.4163
2020-01-15 13:31:00,163.4168
2020-01-15 13:32:00,163.4177
2020-01-15 13:33:00,163.4179
2020-01-15 13:34:00,163.4182
2020-01-15 13:35:00,163.4184
2020-01-15 13:36:00,163.4187
2020-01-15 13:37:00,163.4189
2020-01-15 13:38:00,163.4191
2020-01-15 13:39:00,163.4193
2020-01-15 13:40:00,163.4195
2020-01-15 13:41:00,163.4198
2020-01-15 13:42:00,163.42
2020-01-15 13:43:00,163.4204
2020-01-15 13:44:00,163.4206
2020-01-15 13:45:00,163.4207
2020-01-15 13:46:00,163.421
2020-01-15 13:47:00,163.4216
2020-01-15 13:48:00,163.4219
2020-01-15 13:49:00,163.4223
2020-01-15 13:50:00,163.423
2020-01-15 13:51:00,163.4234
2020-01-15 13:52:00,163.4237
2020-01-15 13:53:00,163.4241
